Any,Mes,Percentatge_embassat,Volum_embassat_(hm3),Provincia,Codi_comarca,Comarcas,Poblacio,Domestic_xarxa,Activitats_propies,Consumo_Anual,Consum_personal_anual,Consumo_mensual,NumComarcas,Consum_per_capita
2012,1,95,2177,Barcelona,"3, 6, 7, 11, 13, 14, 17, 21, 24, 40, 41","(ALT PENEDÈS, L'),(ANOIA, L'),(BAGES, EL),(BAIX LLOBREGAT, EL),(BARCELONÈS, EL),(BERGUEDÀ, EL),(GARRAF, EL),(MARESME, EL),(OSONA),(VALLÈS OCCIDENTAL, EL),(VALLÈS ORIENTAL, EL)",5552193,18871745,11661903,366403787,1275,30533648,11,115
2012,1,86,3996,Girona,"2, 10, 19, 20, 28, 31, 34","(ALT EMPORDÀ, L'),(BAIX EMPORDÀ, EL),(GARROTXA, LA),(GIRONÈS, EL),(PLA DE L'ESTANY, EL),(RIPOLLÈS, EL),(SELVA, LA)",746562,3314284,2958479,75273167,986,6272763,7,140
2012,1,82,2039,Lleida,"4, 5, 15, 18, 23, 25, 26, 27, 32, 33, 35, 38, 39","(ALT URGELL, L'),(ALTA RIBAGORÇA, L'),(CERDANYA, LA),(GARRIGUES, LES),(NOGUERA, LA),(PALLARS JUSSÀ, EL),(PALLARS SOBIRÀ, EL),(PLA D'URGELL, EL),(SEGARRA, LA),(SEGRIÀ, EL),(SOLSONÈS, EL),(URGELL, L'),(VAL D'ARAN, LA)",457954,1801925,1836097,43656270,1985,3638022,13,152
2012,1,60,194,Tarragona,"1, 8, 9, 12, 16, 22, 29, 30, 36, 37","(ALT CAMP, L'),(BAIX CAMP, EL),(BAIX EBRE, EL),(BAIX PENEDÈS, EL),(CONCA DE BARBERÀ, LA),(MONTSIÀ, EL),(PRIORAT, EL),(RIBERA D'EBRE, LA),(TARRAGONÈS, EL),(TERRA ALTA)",814199,3477661,5549392,108324647,1235,9027053,10,123
2012,2,92,1937,Barcelona,"3, 6, 7, 11, 13, 14, 17, 21, 24, 40, 41","(ALT PENEDÈS, L'),(ANOIA, L'),(BAGES, EL),(BAIX LLOBREGAT, EL),(BARCELONÈS, EL),(BERGUEDÀ, EL),(GARRAF, EL),(MARESME, EL),(OSONA),(VALLÈS OCCIDENTAL, EL),(VALLÈS ORIENTAL, EL)",5552193,18871745,11661903,366403787,1275,30533648,11,115
2012,2,84,3656,Girona,"2, 10, 19, 20, 28, 31, 34","(ALT EMPORDÀ, L'),(BAIX EMPORDÀ, EL),(GARROTXA, LA),(GIRONÈS, EL),(PLA DE L'ESTANY, EL),(RIPOLLÈS, EL),(SELVA, LA)",746562,3314284,2958479,75273167,986,6272763,7,140
2012,2,80,1858,Lleida,"4, 5, 15, 18, 23, 25, 26, 27, 32, 33, 35, 38, 39","(ALT URGELL, L'),(ALTA RIBAGORÇA, L'),(CERDANYA, LA),(GARRIGUES, LES),(NOGUERA, LA),(PALLARS JUSSÀ, EL),(PALLARS SOBIRÀ, EL),(PLA D'URGELL, EL),(SEGARRA, LA),(SEGRIÀ, EL),(SOLSONÈS, EL),(URGELL, L'),(VAL D'ARAN, LA)",457954,1801925,1836097,43656270,1985,3638022,13,152
2012,2,59,180,Tarragona,"1, 8, 9, 12, 16, 22, 29, 30, 36, 37","(ALT CAMP, L'),(BAIX CAMP, EL),(BAIX EBRE, EL),(BAIX PENEDÈS, EL),(CONCA DE BARBERÀ, LA),(MONTSIÀ, EL),(PRIORAT, EL),(RIBERA D'EBRE, LA),(TARRAGONÈS, EL),(TERRA ALTA)",814199,3477661,5549392,108324647,1235,9027053,10,123
2012,3,88,1879,Barcelona,"3, 6, 7, 11, 13, 14, 17, 21, 24, 40, 41","(ALT PENEDÈS, L'),(ANOIA, L'),(BAGES, EL),(BAIX LLOBREGAT, EL),(BARCELONÈS, EL),(BERGUEDÀ, EL),(GARRAF, EL),(MARESME, EL),(OSONA),(VALLÈS OCCIDENTAL, EL),(VALLÈS ORIENTAL, EL)",5552193,18871745,11661903,366403787,1275,30533648,11,115
2012,3,85,4009,Girona,"2, 10, 19, 20, 28, 31, 34","(ALT EMPORDÀ, L'),(BAIX EMPORDÀ, EL),(GARROTXA, LA),(GIRONÈS, EL),(PLA DE L'ESTANY, EL),(RIPOLLÈS, EL),(SELVA, LA)",746562,3314284,2958479,75273167,986,6272763,7,140
